6.84,4.44,6.66,         NaN,7.49,         NaN,         NaN,         NaN,4.53,         NaN,1.9,22.13,         NaN,7.09,3.68,3.39,429.47,         NaN,         NaN,         NaN,         NaN,5.03,0.39,63.21,2.88,         NaN,         NaN,1.65,         NaN,19.92,         NaN,2.93,41.32,44.92,         NaN,         NaN,5.24,1.54,         NaN,0.61,         NaN,1.88,7.67,49.29,311.08,4.38,         NaN,         NaN,         NaN,36.52,         NaN,49.79,         NaN,         NaN,10.09,         NaN,         NaN,         NaN,4.62,         NaN,         NaN,14.79,         NaN,11.11,         NaN,         NaN,         NaN,         NaN,2.86,         NaN,         NaN,0.65,5.91,2.38,         NaN,1.04,         NaN,         NaN,0.32,4.18,8.22,26.73,5.66,0.55,         NaN,12.04,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,0.96,         NaN,5.51,         NaN,         NaN,         NaN,8.26,         NaN,         NaN,3.27,         NaN,         NaN,1.08,94.82,3.02,         NaN,         NaN,         NaN,         NaN,         NaN
7.1,4.57,6.71,         NaN,7.51,         NaN,         NaN,         NaN,         NaN,         NaN,1.92,22.6,         NaN,7.31,3.72,3.42,434.2,         NaN,         NaN,         NaN,         NaN,5.14,0.39,64.18,2.92,         NaN,         NaN,1.68,         NaN,20.06,         NaN,2.97,41.4,45.27,         NaN,         NaN,5.27,1.55,         NaN,0.62,         NaN,1.9,         NaN,49.81,312.11,4.38,         NaN,         NaN,         NaN,36.86,         NaN,50.49,         NaN,         NaN,10.25,         NaN,         NaN,         NaN,4.71,         NaN,         NaN,14.78,         NaN,11.27,         NaN,         NaN,         NaN,         NaN,2.94,         NaN,         NaN,0.66,5.97,2.4,         NaN,1.06,         NaN,         NaN,0.33,4.24,8.38,         NaN,5.71,0.57,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,0.98,         NaN,5.55,         NaN,         NaN,         NaN,8.38,         NaN,         NaN,3.34,         NaN,         NaN,1.11,96.32,3.05,         NaN,         NaN,         NaN,         NaN,         NaN
7.37,4.73,6.77,         NaN,7.59,         NaN,         NaN,         NaN,         NaN,         NaN,1.93,23.08,         NaN,7.5,3.76,3.46,438.98,         NaN,         NaN,         NaN,         NaN,5.24,0.39,64.79,2.95,         NaN,         NaN,1.7,         NaN,20.19,         NaN,3,41.45,45.43,         NaN,         NaN,5.31,1.57,         NaN,0.64,         NaN,1.93,         NaN,50.35,312.42,4.37,         NaN,         NaN,         NaN,37.09,         NaN,51.22,         NaN,         NaN,10.41,         NaN,         NaN,         NaN,4.73,         NaN,         NaN,14.77,         NaN,11.37,         NaN,         NaN,         NaN,         NaN,3,         NaN,         NaN,0.67,6.05,2.42,         NaN,1.09,         NaN,         NaN,0.34,4.29,8.54,         NaN,5.74,0.58,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,1,         NaN,5.59,         NaN,         NaN,         NaN,8.51,         NaN,         NaN,3.41,         NaN,         NaN,1.14,97.82,3.08,         NaN,         NaN,         NaN,         NaN,         NaN
7.66,4.89,6.81,         NaN,7.66,         NaN,         NaN,         NaN,4.73,         NaN,1.95,23.57,         NaN,7.74,3.8,3.5,443.82,         NaN,         NaN,         NaN,         NaN,5.35,0.4,65.4,2.98,         NaN,5.74,1.73,12.68,20.33,         NaN,3.03,41.56,45.65,2,         NaN,5.34,1.59,0.42,0.65,         NaN,1.96,7.86,50.87,312.73,4.35,10.86,2.75,         NaN,37.19,0.4,51.96,         NaN,2.9,10.58,1.31,0.63,         NaN,4.76,5.14,         NaN,14.76,         NaN,11.47,0.74,         NaN,         NaN,         NaN,3.05,         NaN,         NaN,0.68,6.15,2.45,5.68,1.12,0.41,         NaN,0.35,4.34,8.7,26.8,5.75,0.59,0.77,12.71,         NaN,         NaN,2.56,         NaN,         NaN,0.32,         NaN,1.03,         NaN,5.63,2.02,         NaN,         NaN,8.64,1.85,14.63,3.47,         NaN,         NaN,1.17,99.77,3.1,19.72,3.16,6.18,         NaN,         NaN
7.89,5,6.85,         NaN,7.72,         NaN,         NaN,         NaN,         NaN,         NaN,1.99,24.07,         NaN,7.98,3.84,3.54,448.71,         NaN,         NaN,         NaN,         NaN,5.49,0.42,66.44,3.02,         NaN,         NaN,1.74,         NaN,20.46,         NaN,3.06,41.57,46.05,         NaN,         NaN,5.38,1.6,0.44,0.66,         NaN,1.99,         NaN,51.4,313.04,4.33,         NaN,         NaN,         NaN,37.47,         NaN,52.69,         NaN,         NaN,10.75,         NaN,         NaN,         NaN,4.79,         NaN,         NaN,14.75,         NaN,11.56,         NaN,         NaN,         NaN,         NaN,3.11,         NaN,         NaN,0.68,6.26,2.47,         NaN,1.14,         NaN,         NaN,0.36,4.4,8.87,         NaN,5.75,0.61,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,0.33,         NaN,1.05,         NaN,5.67,         NaN,         NaN,         NaN,8.77,         NaN,         NaN,3.52,         NaN,         NaN,1.22,101.71,3.12,         NaN,         NaN,         NaN,         NaN,         NaN
8.08,5.04,6.89,         NaN,7.75,         NaN,         NaN,         NaN,         NaN,         NaN,2.02,24.58,         NaN,8.08,3.82,3.58,453.66,         NaN,         NaN,         NaN,         NaN,5.63,0.42,66.57,3.06,         NaN,         NaN,1.76,         NaN,20.6,         NaN,3.09,40.57,46.34,         NaN,         NaN,5.42,1.62,0.46,0.67,         NaN,2.03,         NaN,51.95,313.24,4.28,         NaN,         NaN,         NaN,37.92,         NaN,53.42,         NaN,         NaN,10.9,         NaN,         NaN,         NaN,4.85,         NaN,         NaN,14.74,         NaN,11.67,         NaN,         NaN,         NaN,         NaN,3.18,         NaN,         NaN,0.7,6.38,2.5,         NaN,1.15,         NaN,         NaN,0.38,4.45,9.04,         NaN,5.76,0.62,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,0.34,         NaN,1.07,         NaN,5.7,         NaN,         NaN,         NaN,8.91,         NaN,         NaN,3.54,         NaN,         NaN,1.24,103.17,3.14,         NaN,         NaN,         NaN,         NaN,         NaN
8.23,5.03,6.87,         NaN,7.76,         NaN,         NaN,         NaN,         NaN,         NaN,2.06,25.1,         NaN,8.1,3.82,3.62,458.66,         NaN,         NaN,         NaN,         NaN,5.77,0.43,66.42,3.09,         NaN,         NaN,1.77,         NaN,20.74,         NaN,3.11,39.97,46.52,         NaN,         NaN,5.46,1.64,0.47,0.67,         NaN,2.06,         NaN,52.5,313.55,4.27,         NaN,         NaN,         NaN,38.08,         NaN,54.11,         NaN,         NaN,11.08,         NaN,         NaN,         NaN,4.92,         NaN,         NaN,14.73,         NaN,11.77,         NaN,         NaN,         NaN,         NaN,3.24,         NaN,         NaN,0.71,6.5,2.52,         NaN,1.15,         NaN,         NaN,0.4,4.51,9.22,         NaN,5.77,0.64,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,0.35,         NaN,1.09,         NaN,5.74,         NaN,         NaN,         NaN,9.04,         NaN,         NaN,3.56,         NaN,         NaN,1.26,104.63,3.15,         NaN,         NaN,         NaN,         NaN,         NaN
8.38,5.02,6.83,         NaN,7.72,         NaN,         NaN,         NaN,         NaN,         NaN,2.1,25.64,         NaN,8.16,3.83,3.67,463.71,         NaN,         NaN,         NaN,         NaN,5.92,0.43,66.1,3.13,         NaN,         NaN,1.78,         NaN,20.87,         NaN,3.13,39.38,46.62,         NaN,         NaN,5.5,1.65,0.49,0.68,         NaN,2.1,         NaN,53.06,313.86,4.27,         NaN,         NaN,         NaN,37.92,         NaN,54.74,         NaN,         NaN,11.25,         NaN,         NaN,         NaN,4.99,         NaN,         NaN,14.72,         NaN,11.87,         NaN,         NaN,         NaN,         NaN,3.3,         NaN,         NaN,0.72,6.64,2.55,         NaN,1.15,         NaN,         NaN,0.42,4.57,9.39,         NaN,5.78,0.65,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,0.36,         NaN,1.12,         NaN,5.79,         NaN,         NaN,         NaN,9.18,         NaN,         NaN,3.61,         NaN,         NaN,1.29,106.11,3.17,         NaN,         NaN,         NaN,         NaN,         NaN
8.52,5.1,6.77,         NaN,7.66,         NaN,         NaN,         NaN,         NaN,         NaN,2.14,26.18,         NaN,8.26,3.82,3.71,468.83,         NaN,         NaN,         NaN,         NaN,6.08,0.44,65.58,3.17,         NaN,         NaN,1.8,         NaN,21.01,         NaN,3.13,38.63,46.58,         NaN,         NaN,5.54,1.67,0.52,0.69,         NaN,2.13,         NaN,53.11,314.17,4.28,         NaN,         NaN,         NaN,37.46,         NaN,55.19,         NaN,         NaN,11.43,         NaN,         NaN,         NaN,5.06,         NaN,         NaN,14.71,         NaN,11.97,         NaN,         NaN,         NaN,         NaN,3.37,         NaN,         NaN,0.73,6.74,2.58,         NaN,1.15,         NaN,         NaN,0.44,4.63,9.57,         NaN,5.79,0.67,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,0.37,         NaN,1.14,         NaN,5.82,         NaN,         NaN,         NaN,9.37,         NaN,         NaN,3.63,         NaN,         NaN,1.31,107.28,3.19,         NaN,         NaN,         NaN,         NaN,         NaN
8.68,5.27,6.46,         NaN,7.62,         NaN,         NaN,         NaN,         NaN,         NaN,2.18,26.73,         NaN,8.43,3.81,3.75,473.99,         NaN,         NaN,         NaN,         NaN,6.23,0.45,60.86,3.2,         NaN,         NaN,1.81,         NaN,21.16,         NaN,3.12,38.79,46.54,         NaN,         NaN,5.57,1.69,0.54,0.7,         NaN,2.17,         NaN,53.63,314.38,4.35,         NaN,         NaN,         NaN,37.19,         NaN,55.56,         NaN,         NaN,11.62,         NaN,         NaN,         NaN,5.12,         NaN,         NaN,14.7,         NaN,11.99,         NaN,         NaN,         NaN,         NaN,3.44,         NaN,         NaN,0.74,6.79,2.6,         NaN,1.19,         NaN,         NaN,0.46,4.68,9.76,         NaN,5.79,0.68,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,0.38,         NaN,1.17,         NaN,5.84,         NaN,         NaN,         NaN,9.55,         NaN,         NaN,3.67,         NaN,         NaN,1.33,107.81,3.2,         NaN,         NaN,         NaN,         NaN,         NaN
