ARG,AUS,AUT,BDI,BEL,BEN,BFA,BGD,BGR,BIH,BOL,BRA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,DEU,DNK,DOM,DZA,ECU,EGY,ESP,ETH,FIN,FRA,GBR,GHA,GIN,GRC,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JOR,JPN,KEN,KHM,KOR,LAO,LBN,LBR,LKA,MAR,MDG,MEX,MLI,MMR,MNG,MOZ,MRT,MWI,MYS,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,SWE,SYR,TCD,TGO,THA,TUN,TUR,TWN,TZA,UGA,URY,USA,VEN,VNM,YEM,ZAF,ZMB,ZWE
18460.86900858157,49614.38597627688,43032.21640387139,730.9045976805135,40471.914597792296,2192.261006100744,1605.358822499288,4056.646515831146,17982.423293048745,10718.777861221988,6679.438373851693,14197.549718513385,619.1874635098058,45087.88679036647,62185.47798901128,22175.66501492856,15977.007798620576,3497.8928081418226,2815.316204314165,796.8924394782723,4637.726027591177,13485.702556470873,14583.144009609705,46377.39085284696,47717.45861212463,15944.744353560543,14083.772737051351,10716.90381207436,11895.311918349673,34553.62592797743,1936.8275667246005,39430.90682442678,38555.46543208852,38704.602674613714,3983.121633590813,1642.1047920266644,23403.61206529909,7399.198034153791,50847.72135557016,5052.205696420831,22678.03435094451,1773.109548514298,25995.509005591048,11768.467550581036,7046.436408458912,58083.44769518441,18154.532900416267,13724.742070997776,33227.12511661866,35149.822737797,9174.50142395984,38403.68119500713,3120.4313827317205,3692.4299528391257,38214.32540521402,6454.777867001544,13236.691613816594,842.3757235618091,12051.54682423908,8385.94955729587,1407.442425894754,17055.116395989793,1673.8774703125134,5803.431070384382,13419.57770121529,1122.585570792069,3567.1013704552147,1172.6712847901124,25175.799568359595,942.5486044098856,5215.37559870875,4930.429632849396,47528.90299759168,84739.91970070468,2800.859682238255,36420.04873497191,50135.401923433776,5299.070726267489,22843.750444334597,12677.874570671223,8234.928093332479,27880.8350952392,34190.109014779955,8915.668486218812,5218.156432716277,24000.455994795157,24690.082293377545,1908.0489403418292,50906.483336460784,2908.528982674828,2514.807178840567,74518.15224723525,1660.4270190798857,29461.344295007955,14579.8590396635,45003.492394454086,3418.695424961872,1541.4716178237677,1466.3409759141143,16610.05051186261,11376.28966218976,23650.48942395216,45817.93617356744,2785.1823176640764,2036.3312449662733,19697.759966076323,55454.66943794173,9446.187714934318,6842.138813327312,2281.544864741528,11873.299867563794,3521.505005744813,1900.199190697413
17912.635765177303,49814.66995597035,43488.66812050347,738.9830779492221,41155.526780402,2276.103867963354,1651.1173258771164,4242.751699683921,18840.76273269419,11048.235446717918,6730.809061873835,14257.871306763853,623.5598233502932,45284.21348215402,62448.5993632049,21924.40757922929,16879.53970153226,3703.087528638841,2832.076741644697,806.479015430905,4583.337145566191,13603.993309076192,14775.29207022496,46761.9460555775,48238.65786899667,16587.236485078345,14000.27914797286,10586.936861661216,12300.201070600771,34957.465528221546,2030.6775319000071,39874.802181849154,39084.65542048323,39113.01173266413,4143.3772788327215,1690.8837251385637,23869.792849390768,7565.846022916714,49631.06158931615,5099.814302392386,23590.2774566472,1719.4462228532534,27272.312084521,12250.278163963409,7293.989586302366,59733.91176779393,17400.414329628675,14203.61758637821,33951.890251752986,35407.241128719455,9166.066669962704,38332.93526364285,3207.2622939310386,3896.797803857532,38935.99206126933,6706.006344744449,12854.796577078958,807.3494040129257,11939.549660268758,8540.803443894769,1434.2703140960969,16802.014276655613,1706.0105060362946,6140.884701072777,13871.330127961975,1118.630328232767,3659.10314894174,1205.4770715379748,25986.41141789413,964.324343317027,5197.0825127987455,4721.727406340627,48142.67175996077,85115.3230859659,2953.560230153333,36912.075718532695,48596.52895658961,5219.534107146035,23218.4307781181,12680.353829006037,8602.145534202311,29142.024249741866,35041.328143130086,8776.075922181637,5176.979557656634,23267.51545911466,25244.118677579016,2042.852962183972,50123.33643593941,2757.3863129199635,2559.8177360224777,74649.73548482923,1707.371384348127,30229.29866394322,15293.246244553162,45434.40294807441,3385.419291877841,1543.8028787517364,1501.8667566255235,16905.292327574447,11451.89757469591,23497.50335772699,47200.25286946424,2894.647273525394,2128.9085948515294,19714.14894879611,56469.26365925514,7061.761533347558,7266.048396238919,2265.3430203935445,11739.935508497538,3466.2364125529007,1753.0244485571218
15975.838772553549,48268.94507651192,40503.0408055729,720.4459743972841,38763.44257492726,2297.769732867594,1638.827886419169,4418.9642546993055,18203.8329720928,10736.168312228834,6062.06482775822,13685.925743510985,613.7893419743613,42493.630617386254,60521.26266021757,20205.86869447819,17225.968276942745,3682.135289488492,2769.286788750432,794.2714174432007,4203.110203911664,12377.134949809795,13996.389360173924,44996.4296207847,47171.08707284589,15325.654565559918,13086.292801166825,9646.065160433587,12234.503481702748,30834.51319742432,2121.8590445605028,38871.701847820725,35913.81936941929,34651.183049111096,4069.2519024115472,1726.50825466548,21767.220165271887,7309.368193308424,46550.256038765154,4567.885690671236,21672.47793772927,1641.7617050038757,26091.40032999944,11895.075330697577,6730.546822014761,55134.85649890633,17296.263711327592,11717.375296314593,32730.94254137353,32385.32709510664,8896.382551027444,36826.63896921391,3129.5852831151,3728.198416173488,38606.98332035484,6824.144154116059,10182.636876101324,768.4054462244039,11447.249328773152,7849.207931212453,1300.542836411424,15253.691313136262,1638.9304502976336,6282.811713203451,12990.328563230378,1076.6940425279995,3532.2977351312065,1186.6827178733677,24279.315633018203,962.7822900384816,4976.322358449507,4575.186325096798,46014.48428690067,83543.09832942951,2832.860944763906,35853.692992715216,46133.20980381452,5242.695082296415,18840.739095054367,11136.991090246232,7624.413564948383,28577.141385891355,33787.398225739256,8603.078968662478,4490.754810288136,24799.711832890163,24625.384368269115,1935.2662175115968,46723.92940487973,2586.8955093733543,2524.2655476212267,71964.69921997073,1635.7129817131436,28733.302552143603,15256.421028303836,44128.33196694781,2903.7398355317155,1463.5312650403762,1482.751495313325,15815.91485952924,10354.23909638127,23721.88049784061,48779.43868650653,2948.4724897505207,2032.2618824050692,18460.03834921669,54379.20651245575,4952.529594631958,7395.361526596984,2031.4436130163915,10839.1330806975,3270.5992234999458,1585.9728041575377
17470.682415187282,50704.93485344902,42184.696121489615,723.1920741092595,40970.80578330413,2395.166213335109,1706.963253766437,4684.003010247773,19753.9944646969,11553.760708649706,6355.615210539723,14292.935059037914,606.8591051512815,44379.594870856665,62595.3100393776,22324.961433086897,18666.604569482603,3853.162676998033,2791.7901002835106,817.4322286830871,4168.024358496841,13553.399428283312,14931.956023204828,46159.05188091431,49258.74965876333,17046.64602563451,13337.261833898425,9937.6964730908,12868.26141909637,32553.05102816353,2190.675179037729,39977.85488818355,38242.13474775759,37134.32838021938,4190.578296752464,1769.8623247193907,23732.20107260401,7764.696116345891,50006.34792486015,5062.118729298094,25059.94666497539,1591.760015319581,28085.962226124888,12233.968593294914,7315.121362710703,57278.42345862671,18052.368971167973,12355.586949059649,34969.01406308376,34827.13496942706,9019.89487021807,37678.27579844948,3292.7584367959853,3796.4843887752886,40277.95211820309,6961.121418225251,10573.861131356723,790.2841169364428,11751.948619091754,8391.294664532728,1343.4438578473782,15853.37632930669,1643.0143721173124,5113.336847752783,12992.166560057296,1073.569964381188,3527.427831896272,1211.209253928855,24764.64969856618,941.2575174364652,5029.088207032856,4978.84140892313,48001.83815004105,86334.59325126758,2902.0501722250265,37837.45806607527,46573.575763828216,5463.774527616066,21539.070766353063,12550.460889975757,7894.177952445973,30687.66286250352,34095.49101001594,8845.659158428356,4698.932604647453,26102.587643082406,26119.94763869551,2106.9736460457234,49841.14561838652,2532.705787434565,2607.232089168679,77945.48593929896,1665.1047733503528,31019.943002566437,16563.828727107542,46226.54465711257,2682.339823438483,1402.673171106424,1534.8236471011076,16019.518754916817,10726.256220168169,26175.93047554976,51943.88228863887,3008.1130797544965,2083.828189664253,19222.295834867906,57522.70462551701,4896.801878805474,7507.758707370352,1972.2102539237117,11273.159112407797,3321.5944958260097,1687.253154013049
18292.31782465981,52049.427952178994,43792.856399897166,717.2284287075476,41872.39284922108,2477.090227847233,1704.9658849384389,4925.721185547546,20592.455194814112,12142.863201077287,6481.39044234345,14640.076122577277,596.3929987333512,45529.64560835027,63323.25280180889,22740.72142369102,19238.17878269338,4011.712273194948,2812.214739145369,844.1719774649216,4187.506998858619,14468.963898271351,15496.820570794214,46647.79191665137,50689.67988728573,17713.520299462227,13506.44438931578,10124.076562210608,13205.40639831306,34123.386709528146,2289.40903790425,40701.46600262055,39065.70958246763,38406.53194877708,4242.41066928283,1809.2665668339275,25283.906880841605,7969.431184869257,48289.38231234516,5186.530263450101,26986.75134468592,1546.42219420341,29451.85578718789,12801.67093446864,7765.592962073302,60257.08371520772,18473.06545249461,13071.9400653723,36648.91695538968,36224.29371800584,9151.478800964958,38268.788301490815,3403.923807340963,3944.2467702969593,41320.89777310909,7168.190637426723,10341.159377973654,811.2146171951392,10705.481483137308,8400.126970931335,1367.0937832263344,16235.455392709897,1651.941309062707,5177.432821804038,13442.906241343517,1087.8360020802634,3680.366246224116,1190.0508476931934,26628.70757540267,1007.7209474542524,5070.492915765747,5092.841227313294,49669.86855501835,88366.21932847245,3013.5177675161785,38250.12239372281,47988.64770074963,5531.722973318852,23557.019553502487,12762.966819894918,8370.666118920128,32468.40269329398,35280.66642312488,8762.771473614272,4775.202059145595,26197.90495028856,25437.10802228907,2198.066263846081,53516.909037017474,2405.274971339159,2660.681725052497,80320.0872024852,1690.498186605573,32673.76078945573,17097.685872556907,47126.12706715542,2494.761294640916,1393.5634155801697,1586.588847532188,16421.072993706417,10913.845489085925,27361.987659454844,53142.98296097826,3057.32872518492,2122.027929667799,20181.93966293775,58487.46586089506,5267.175304644255,8050.358830663885,1959.3194980156536,11415.886895189937,3342.4213246285044,1703.5293725691904
